"prov","provlab","ign_id_prov","ign_name","valid_from","valid_to"
1,"Alava","01","Araba/Álava","2011-07-06",NA
2,"Albacete","02","Albacete","2005-12-31",NA
3,"Alicante","03","Alacant/Alicante","2005-12-31",NA
4,"Almeria","04","Almería","2005-12-31",NA
5,"Avila","05","Ávila","2005-12-31",NA
6,"Badajoz","06","Badajoz","2005-12-31",NA
7,"Baleares","07","Illes Balears","2005-12-31",NA
8,"Barcelona","08","Barcelona","2005-12-31",NA
9,"Burgos","09","Burgos","2005-12-31",NA
10,"Caceres","10","Cáceres","2005-12-31",NA
11,"Cadiz","11","Cádiz","2005-12-31",NA
12,"Castellon","12","Castelló/Castellón","2005-12-31",NA
13,"CiudadReal","13","Ciudad Real","2005-12-31",NA
14,"Cordoba","14","Córdoba","2005-12-31",NA
15,"CorunaLa","15","A Coruña","2005-12-31",NA
16,"Cuenca","16","Cuenca","2005-12-31",NA
17,"Gerona","17","Girona","2005-12-31",NA
18,"Granada","18","Granada","2005-12-31",NA
19,"Guadalajara","19","Guadalajara","2005-12-31",NA
20,"Guipuzcoa","20","Gipuzkoa","2011-07-06",NA
21,"Huelva","21","Huelva","2005-12-31",NA
22,"Huesca","22","Huesca","2005-12-31",NA
23,"Jaen","23","Jaén","2005-12-31",NA
24,"Leon","24","León","2005-12-31",NA
25,"Lerida","25","Lleida","2005-12-31",NA
26,"RiojaLa","26","La Rioja","2005-12-31",NA
27,"Lugo","27","Lugo","2005-12-31",NA
28,"Madrid","28","Madrid","2005-12-31",NA
29,"Malaga","29","Málaga","2005-12-31",NA
30,"Murcia","30","Murcia","2005-12-31",NA
31,"Navarra","31","Navarra","2005-12-31",NA
32,"Orense","32","Ourense","2005-12-31",NA
33,"Oviedo","33","Asturias","2005-12-31",NA
34,"Palencia","34","Palencia","2005-12-31",NA
35,"PalmasLas","35","Las Palmas","2005-12-31",NA
36,"Pontevedra","36","Pontevedra","2005-12-31",NA
37,"Salamanca","37","Salamanca","2005-12-31",NA
38,"Tenerife","38","Santa Cruz de Tenerife","2005-12-31",NA
39,"Santander","39","Cantabria","2005-12-31",NA
40,"Segovia","40","Segovia","2005-12-31",NA
41,"Sevilla","41","Sevilla","2005-12-31",NA
42,"Soria","42","Soria","2005-12-31",NA
43,"Tarragona","43","Tarragona","2005-12-31",NA
44,"Teruel","44","Teruel","2005-12-31",NA
45,"Toledo","45","Toledo","2005-12-31",NA
46,"Valencia","46","València/Valencia","2005-12-31",NA
47,"Valladolid","47","Valladolid","2005-12-31",NA
48,"Vizcaya","48","Bizkaia","2011-07-06",NA
49,"Zamora","49","Zamora","2005-12-31",NA
50,"Zaragoza","50","Zaragoza","2005-12-31",NA
51,"Ceuta","51","Ceuta","2005-12-31",NA
52,"Melilla","52","Melilla","2005-12-31",NA
