domain,year,urban_share,educ_secondary,unemp_rate,mean_schooling,nightlights,pop
D01,2022,0.6563,0.6514,0.0799,10.183,4.682,42371
D01,2023,0.6444,0.599,0.0869,10.274,4.216,25012
D02,2022,0.4428,0.5979,0.1033,10.248,2.402,74438
D02,2023,0.4817,0.578,0.1118,9.188,2.703,72314
D03,2022,0.1692,0.3181,0.2121,7.02,1.331,28528
D03,2023,0.1583,0.3431,0.1952,7.634,1.765,77831
D04,2022,0.3314,0.2828,0.1548,8.536,2.593,62638
D04,2023,0.3594,0.3856,0.1636,8.552,1.993,52304
D05,2022,0.6155,0.6674,0.1247,10.28,3.92,64114
D05,2023,0.6224,0.6752,0.0976,10.424,4.135,57739
D06,2022,0.7135,0.7927,0.0632,10.066,5.644,37244
D06,2023,0.6591,0.7139,0.0944,10.005,5.161,83176
D07,2022,0.5325,0.4582,0.1036,9.217,3.175,32795
D07,2023,0.4939,0.5527,0.1713,9.3,2.998,61959
D08,2022,0.1957,0.1,0.2745,6.373,1.35,42900
D08,2023,0.1368,0.2336,0.2681,7.106,1.085,52822
D09,2022,0.3266,0.5173,0.2118,9.186,2.651,79257
D09,2023,0.4343,0.5791,0.1014,9.231,2.49,33130
D10,2022,0.5151,0.5154,0.1032,9.446,2.274,84252
D10,2023,0.6009,0.5714,0.129,8.991,2.534,76284
D11,2022,0.5728,0.5729,0.1439,10.142,2.563,44956
D11,2023,0.4718,0.5221,0.1659,9.711,2.465,35165
D12,2022,0.5044,0.6951,0.0973,9.777,6.223,39790
D12,2023,0.7418,0.709,0.076,10.559,4.617,40198
D13,2022,0.6862,0.8527,0.0579,11.468,8.321,25167
D13,2023,0.7631,0.7884,0.0368,11.598,9.053,70422
D14,2022,0.6012,0.605,0.0787,10.244,3.773,54616
D14,2023,0.5658,0.6606,0.0829,9.994,5.454,48209
D15,2022,0.5848,0.5859,0.107,10.009,4.649,76866
D15,2023,0.5056,0.5993,0.0896,10.125,4.496,76582
D16,2022,0.3234,0.381,0.1759,8.157,2.437,67460
D16,2023,0.333,0.3364,0.1679,8.488,1.253,60597
D17,2022,0.5562,0.6168,0.1223,9.407,2.44,56497
D17,2023,0.5189,0.5325,0.117,9.628,3.426,74288
D18,2022,0.2239,0.2087,0.2212,7.674,1.303,70624
D18,2023,0.2466,0.2224,0.1981,7.003,1.134,25011
D19,2022,0.5494,0.5719,0.1072,8.689,2.422,29599
D19,2023,0.5597,0.6294,0.1666,9.855,3.063,29240
D20,2022,0.5043,0.5011,0.1155,9.201,3.133,38682
D20,2023,0.561,0.6273,0.1266,9.542,3.146,40454
D21,2022,0.6932,0.8646,0.0238,11.924,6.103,78369
D21,2023,0.6766,0.8247,0.01,11.109,9.416,75341
D22,2022,0.7724,0.8341,0.0114,10.804,7.509,32421
D22,2023,0.6469,0.7976,0.0278,11.808,7.103,55577
D23,2022,0.7142,0.9004,0.0392,10.639,8.309,40727
D23,2023,0.7655,0.8218,0.0633,11.756,8.506,24973
D24,2022,0.4822,0.6628,0.0957,10.222,7.808,25607
D24,2023,0.4547,0.6697,0.0931,9.411,4.338,35286
D25,2022,0.2919,0.1552,0.2237,7.544,1.283,62465
D25,2023,0.1297,0.2581,0.239,7.486,1.336,58330
D26,2022,0.5833,0.7325,0.0816,10.884,5.687,64091
D26,2023,0.6013,0.758,0.0843,11.508,5.524,58822
D27,2022,0.7573,0.7641,0.0262,11.285,5.412,23467
D27,2023,0.618,0.8043,0.0372,10.63,8.399,83308
D28,2022,0.657,0.602,0.1065,9.48,3.826,29731
D28,2023,0.5418,0.7517,0.0558,10.499,2.687,45549
D29,2022,0.7967,0.722,0.026,10.315,6.436,29067
D29,2023,0.684,0.7527,0.0174,10.949,9.663,87726
D30,2022,0.5564,0.573,0.0955,9.022,4.729,54363
D30,2023,0.4253,0.5401,0.1149,9.093,2.804,74181
D31,2022,0.4988,0.5898,0.1083,9.225,3.436,26946
D31,2023,0.5726,0.666,0.0937,10.018,2.964,47546
D32,2022,0.6007,0.7234,0.0385,11.288,6.431,36303
D32,2023,0.552,0.7966,0.0551,10.524,3.775,20826
D33,2022,0.6591,0.6468,0.0508,9.728,4.231,40728
D33,2023,0.6031,0.736,0.1124,10.198,3.163,82808
D34,2022,0.3099,0.3861,0.1916,8.049,1.761,60670
D34,2023,0.4555,0.3448,0.1466,8.785,2.391,81127
D35,2022,0.5087,0.4497,0.1172,9.256,1.804,77770
D35,2023,0.3679,0.4349,0.1434,9.603,2.72,31256
D36,2022,0.6005,0.6777,0.0652,9.693,3.667,79760
D36,2023,0.6055,0.7269,0.1009,9.709,5.665,66974
D37,2022,0.6375,0.7132,0.0406,11.182,6.677,30619
D37,2023,0.6649,0.8084,0.0437,11.344,12.195,39398
D38,2022,0.4215,0.4216,0.1587,9.226,4.724,37555
D38,2023,0.3963,0.5415,0.1314,9.677,3.183,77565
D39,2022,0.4824,0.5129,0.0834,9.623,3.665,52917
D39,2023,0.49,0.4727,0.0933,9.581,3.735,49874
D40,2022,0.6002,0.6681,0.0751,10.502,4.938,42432
D40,2023,0.5604,0.6364,0.0801,11.071,2.616,24648
