year,domain,region,psu,strata,weight,hhsize,income,povline
2022,D01,R1,D01_P1,R1,105.01,1,11724.04,7860.87
2022,D01,R1,D01_P1,R1,85.31,2,13117.72,7860.87
2022,D01,R1,D01_P1,R1,97.5,4,16721.77,7860.87
2022,D01,R1,D01_P1,R1,116.14,3,9224.67,7860.87
2022,D01,R1,D01_P1,R1,106.35,4,19725.39,7860.87
2022,D01,R1,D01_P1,R1,97.87,2,14352.14,7860.87
2022,D01,R1,D01_P1,R1,82.43,4,17854.51,7860.87
2022,D01,R1,D01_P1,R1,85.01,2,11148.59,7860.87
2022,D01,R1,D01_P2,R1,97.83,3,12339.76,7860.87
2022,D01,R1,D01_P2,R1,105.7,2,17858.28,7860.87
2022,D01,R1,D01_P2,R1,82.49,1,28895.35,7860.87
2022,D01,R1,D01_P2,R1,97.61,3,12464.59,7860.87
2022,D01,R1,D01_P2,R1,103.9,2,23671.39,7860.87
2022,D01,R1,D01_P2,R1,106.51,3,16649.46,7860.87
2022,D01,R1,D01_P2,R1,113.67,3,19694.78,7860.87
2022,D01,R1,D01_P2,R1,82.35,1,15341.0,7860.87
2022,D01,R1,D01_P3,R1,87.39,1,14056.83,7860.87
2022,D01,R1,D01_P3,R1,118.98,2,24366.78,7860.87
2022,D01,R1,D01_P3,R1,109.94,1,7229.19,7860.87
2022,D01,R1,D01_P3,R1,109.98,2,16063.53,7860.87
2022,D01,R1,D01_P3,R1,107.88,1,20540.24,7860.87
2022,D01,R1,D01_P3,R1,85.34,3,18193.13,7860.87
2022,D01,R1,D01_P3,R1,113.62,2,16147.82,7860.87
2022,D01,R1,D01_P3,R1,101.17,2,19109.41,7860.87
2022,D01,R1,D01_P4,R1,96.4,1,26778.4,7860.87
2022,D01,R1,D01_P4,R1,91.48,2,8895.71,7860.87
2022,D01,R1,D01_P4,R1,106.19,1,14734.3,7860.87
2022,D01,R1,D01_P4,R1,100.09,1,12700.26,7860.87
2022,D01,R1,D01_P4,R1,85.29,4,16126.08,7860.87
2022,D01,R1,D01_P4,R1,117.69,3,14924.42,7860.87
2022,D01,R1,D01_P4,R1,115.49,3,8374.56,7860.87
2022,D01,R1,D01_P4,R1,110.15,3,23212.29,7860.87
2022,D01,R1,D01_P5,R1,96.81,4,27015.29,7860.87
2022,D01,R1,D01_P5,R1,84.44,6,10655.36,7860.87
2022,D01,R1,D01_P5,R1,98.68,4,13214.52,7860.87
2022,D01,R1,D01_P5,R1,92.92,4,7441.53,7860.87
2022,D01,R1,D01_P5,R1,81.69,2,7540.63,7860.87
2022,D01,R1,D01_P5,R1,93.53,3,9083.99,7860.87
2022,D01,R1,D01_P5,R1,116.3,2,9242.81,7860.87
2022,D01,R1,D01_P5,R1,95.07,4,15964.92,7860.87
2022,D01,R1,D01_P6,R1,88.34,1,13717.48,7860.87
2022,D01,R1,D01_P6,R1,101.18,4,12447.77,7860.87
2022,D01,R1,D01_P6,R1,97.65,2,23998.95,7860.87
2022,D01,R1,D01_P6,R1,116.27,2,5701.4,7860.87
2022,D01,R1,D01_P6,R1,100.09,3,13559.13,7860.87
2022,D01,R1,D01_P6,R1,103.73,1,19987.8,7860.87
2022,D01,R1,D01_P6,R1,83.65,1,14414.28,7860.87
2022,D01,R1,D01_P6,R1,119.24,2,17130.24,7860.87
2023,D01,R1,D01_P1,R1,115.56,1,15595.0,8007.27
2023,D01,R1,D01_P1,R1,105.63,3,23325.02,8007.27
2023,D01,R1,D01_P1,R1,91.34,2,25999.83,8007.27
2023,D01,R1,D01_P1,R1,112.63,2,8865.21,8007.27
2023,D01,R1,D01_P1,R1,80.18,6,17128.97,8007.27
2023,D01,R1,D01_P1,R1,98.95,1,14723.37,8007.27
2023,D01,R1,D01_P1,R1,81.42,2,9335.05,8007.27
2023,D01,R1,D01_P1,R1,112.28,3,9523.03,8007.27
2023,D01,R1,D01_P2,R1,81.84,1,18731.31,8007.27
2023,D01,R1,D01_P2,R1,92.32,4,13927.94,8007.27
2023,D01,R1,D01_P2,R1,118.6,2,8289.01,8007.27
2023,D01,R1,D01_P2,R1,91.45,1,42746.31,8007.27
2023,D01,R1,D01_P2,R1,115.64,3,11868.29,8007.27
2023,D01,R1,D01_P2,R1,118.82,1,26488.56,8007.27
2023,D01,R1,D01_P2,R1,82.87,2,18880.25,8007.27
2023,D01,R1,D01_P2,R1,106.61,2,20121.63,8007.27
2023,D01,R1,D01_P3,R1,91.16,1,20977.05,8007.27
2023,D01,R1,D01_P3,R1,81.01,3,18191.31,8007.27
2023,D01,R1,D01_P3,R1,84.33,3,20683.09,8007.27
2023,D01,R1,D01_P3,R1,82.59,4,16378.97,8007.27
2023,D01,R1,D01_P3,R1,83.84,2,23228.13,8007.27
2023,D01,R1,D01_P3,R1,94.32,3,17968.32,8007.27
2023,D01,R1,D01_P3,R1,95.84,1,15108.19,8007.27
2023,D01,R1,D01_P3,R1,108.67,2,16237.19,8007.27
2023,D01,R1,D01_P4,R1,84.5,2,16549.35,8007.27
2023,D01,R1,D01_P4,R1,93.92,2,24700.11,8007.27
2023,D01,R1,D01_P4,R1,108.19,3,5231.14,8007.27
2023,D01,R1,D01_P4,R1,113.42,5,4348.74,8007.27
2023,D01,R1,D01_P4,R1,100.08,2,7217.02,8007.27
2023,D01,R1,D01_P4,R1,90.15,2,9738.03,8007.27
2023,D01,R1,D01_P4,R1,90.42,5,28233.29,8007.27
2023,D01,R1,D01_P4,R1,80.41,2,12846.47,8007.27
2023,D01,R1,D01_P5,R1,80.28,3,11120.41,8007.27
2023,D01,R1,D01_P5,R1,96.2,2,7269.86,8007.27
2023,D01,R1,D01_P5,R1,113.0,3,14727.22,8007.27
2023,D01,R1,D01_P5,R1,98.98,1,9885.7,8007.27
2023,D01,R1,D01_P5,R1,119.17,4,10258.6,8007.27
2023,D01,R1,D01_P5,R1,96.14,2,14356.97,8007.27
2023,D01,R1,D01_P5,R1,91.53,2,7839.6,8007.27
2023,D01,R1,D01_P5,R1,85.3,3,5063.88,8007.27
2023,D01,R1,D01_P6,R1,94.24,2,20117.42,8007.27
2023,D01,R1,D01_P6,R1,110.27,2,19831.6,8007.27
2023,D01,R1,D01_P6,R1,114.95,1,14602.41,8007.27
2023,D01,R1,D01_P6,R1,82.63,1,11052.31,8007.27
2023,D01,R1,D01_P6,R1,80.57,2,9885.41,8007.27
2023,D01,R1,D01_P6,R1,89.8,4,11695.74,8007.27
2023,D01,R1,D01_P6,R1,95.26,5,12131.22,8007.27
2023,D01,R1,D01_P6,R1,111.07,1,10731.02,8007.27
2022,D02,R1,D02_P1,R1,94.75,2,8599.53,7860.87
2022,D02,R1,D02_P1,R1,95.02,2,6079.73,7860.87
2022,D02,R1,D02_P1,R1,113.28,3,17918.81,7860.87
2022,D02,R1,D02_P1,R1,100.81,3,18744.6,7860.87
2022,D02,R1,D02_P1,R1,92.31,4,7836.67,7860.87
2022,D02,R1,D02_P1,R1,93.05,1,15670.66,7860.87
2022,D02,R1,D02_P1,R1,87.21,1,8121.04,7860.87
2022,D02,R1,D02_P1,R1,100.6,1,23354.86,7860.87
2022,D02,R1,D02_P2,R1,107.79,1,8649.28,7860.87
2022,D02,R1,D02_P2,R1,100.4,1,13513.56,7860.87
2022,D02,R1,D02_P2,R1,84.89,5,5850.61,7860.87
2022,D02,R1,D02_P2,R1,107.55,3,7295.23,7860.87
2022,D02,R1,D02_P2,R1,109.58,1,8068.0,7860.87
2022,D02,R1,D02_P2,R1,118.99,3,8628.31,7860.87
2022,D02,R1,D02_P2,R1,85.22,2,8902.17,7860.87
2022,D02,R1,D02_P2,R1,98.23,1,22289.99,7860.87
2022,D02,R1,D02_P3,R1,116.59,4,22258.66,7860.87
2022,D02,R1,D02_P3,R1,91.06,3,5991.44,7860.87
2022,D02,R1,D02_P3,R1,95.78,3,10245.58,7860.87
2022,D02,R1,D02_P3,R1,118.22,4,11405.48,7860.87
2022,D02,R1,D02_P3,R1,84.4,3,21578.83,7860.87
2022,D02,R1,D02_P3,R1,106.51,3,18552.03,7860.87
2022,D02,R1,D02_P3,R1,82.04,2,8187.05,7860.87
2022,D02,R1,D02_P3,R1,83.54,1,20478.86,7860.87
2022,D02,R1,D02_P4,R1,84.42,3,13845.48,7860.87
2022,D02,R1,D02_P4,R1,114.28,3,11310.65,7860.87
2022,D02,R1,D02_P4,R1,92.43,5,12635.16,7860.87
2022,D02,R1,D02_P4,R1,89.56,1,17809.76,7860.87
2022,D02,R1,D02_P4,R1,114.26,3,9330.28,7860.87
2022,D02,R1,D02_P4,R1,119.66,2,16645.32,7860.87
2022,D02,R1,D02_P4,R1,110.42,5,13598.19,7860.87
2022,D02,R1,D02_P4,R1,106.48,3,6073.93,7860.87
2022,D02,R1,D02_P5,R1,103.56,5,12209.46,7860.87
2022,D02,R1,D02_P5,R1,91.34,4,13220.04,7860.87
2022,D02,R1,D02_P5,R1,119.19,1,30238.37,7860.87
2022,D02,R1,D02_P5,R1,110.49,6,14140.36,7860.87
2022,D02,R1,D02_P5,R1,80.77,8,21585.83,7860.87
2022,D02,R1,D02_P5,R1,111.95,2,7253.55,7860.87
2022,D02,R1,D02_P5,R1,92.74,4,16409.2,7860.87
2022,D02,R1,D02_P5,R1,115.22,2,13777.5,7860.87
2022,D02,R1,D02_P6,R1,91.81,2,11637.84,7860.87
2022,D02,R1,D02_P6,R1,83.94,2,6441.68,7860.87
2022,D02,R1,D02_P6,R1,107.0,2,15431.19,7860.87
2022,D02,R1,D02_P6,R1,83.6,3,13226.06,7860.87
2022,D02,R1,D02_P6,R1,85.52,3,14822.79,7860.87
2022,D02,R1,D02_P6,R1,103.84,4,20092.45,7860.87
2022,D02,R1,D02_P6,R1,81.75,5,7688.07,7860.87
2022,D02,R1,D02_P6,R1,118.27,3,38379.74,7860.87
2023,D02,R1,D02_P1,R1,88.96,2,12226.82,8007.27
2023,D02,R1,D02_P1,R1,95.47,3,12981.62,8007.27
2023,D02,R1,D02_P1,R1,117.36,2,6728.58,8007.27
2023,D02,R1,D02_P1,R1,119.15,2,6543.52,8007.27
2023,D02,R1,D02_P1,R1,116.75,3,14622.78,8007.27
2023,D02,R1,D02_P1,R1,115.54,1,13215.6,8007.27
2023,D02,R1,D02_P1,R1,90.11,2,9848.49,8007.27
2023,D02,R1,D02_P1,R1,116.98,3,19104.39,8007.27
2023,D02,R1,D02_P2,R1,87.29,3,10014.0,8007.27
2023,D02,R1,D02_P2,R1,85.41,2,11103.5,8007.27
2023,D02,R1,D02_P2,R1,108.54,1,8904.93,8007.27
2023,D02,R1,D02_P2,R1,110.05,3,8850.25,8007.27
2023,D02,R1,D02_P2,R1,99.23,2,14469.86,8007.27
2023,D02,R1,D02_P2,R1,82.34,3,9100.67,8007.27
